[2026-03-24T04:54:08.954Z] Server started/reloaded
[2026-03-24T04:55:43.451Z] Server started/reloaded
[2026-03-24T05:13:27.319Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:13:27.330Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:13:31.409Z] [REQUEST] GET /api/health
[2026-03-24T05:13:31.412Z] [REQUEST] GET /api/health
[2026-03-24T05:13:31.413Z] [REQUEST] GET /api/health
[2026-03-24T05:13:31.415Z] [REQUEST] GET /api/health
[2026-03-24T05:13:31.417Z] [REQUEST] GET /api/health
[2026-03-24T05:13:31.418Z] [REQUEST] GET /api/health
[2026-03-24T05:13:31.423Z] [REQUEST] GET /api/visitors
[2026-03-24T05:13:31.425Z] [REQUEST] GET /api/visitors/stats
[2026-03-24T05:13:31.430Z] [REQUEST] GET /api/security/visitor-analytics
[2026-03-24T05:13:31.436Z] [REQUEST] GET /api/visitors
[2026-03-24T05:13:31.438Z] [REQUEST] GET /api/visitors/stats
[2026-03-24T05:13:31.446Z] [REQUEST] GET /api/security/visitor-analytics
[2026-03-24T05:13:31.461Z] [REQUEST] GET /api/health
[2026-03-24T05:13:31.463Z] [REQUEST] GET /api/health
[2026-03-24T05:13:31.465Z] [REQUEST] GET /api/health
[2026-03-24T05:13:31.481Z] [REQUEST] GET /api/visitors
[2026-03-24T05:13:31.482Z] [REQUEST] GET /api/visitors/stats
[2026-03-24T05:13:31.484Z] [REQUEST] GET /api/security/visitor-analytics
[2026-03-24T05:13:31.529Z] [REQUEST] GET /api/health
[2026-03-24T05:13:31.531Z] [REQUEST] GET /api/health
[2026-03-24T05:13:31.533Z] [REQUEST] GET /api/health
[2026-03-24T05:13:31.547Z] [REQUEST] GET /api/visitors
[2026-03-24T05:13:31.549Z] [REQUEST] GET /api/visitors/stats
[2026-03-24T05:13:31.550Z] [REQUEST] GET /api/security/visitor-analytics
[2026-03-24T05:13:31.559Z] [REQUEST] GET /api/health
[2026-03-24T05:13:31.562Z] [REQUEST] GET /api/health
[2026-03-24T05:13:31.563Z] [REQUEST] GET /api/health
[2026-03-24T05:13:31.584Z] [REQUEST] GET /api/visitors
[2026-03-24T05:13:31.586Z] [REQUEST] GET /api/visitors/stats
[2026-03-24T05:13:31.588Z] [REQUEST] GET /api/security/visitor-analytics
[2026-03-24T05:13:34.688Z] [REQUEST] GET /api/passes
[2026-03-24T05:13:34.693Z] [REQUEST] GET /api/passes
[2026-03-24T05:13:45.580Z] [REQUEST] GET /
[2026-03-24T05:13:49.955Z] [REQUEST] GET /api/residents/by-user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:13:49.957Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:13:49.962Z] [REQUEST] GET /api/residents/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:13:49.969Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:13:49.976Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:13:49.985Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:13:51.450Z] [REQUEST] GET /api/passes
[2026-03-24T05:13:51.452Z] [REQUEST] GET /api/passes
[2026-03-24T05:13:54.952Z] [REQUEST] GET /api/passes
[2026-03-24T05:13:54.954Z] [REQUEST] GET /api/residents/by-user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:13:54.956Z] [REQUEST] GET /api/passes
[2026-03-24T05:13:54.968Z] [REQUEST] GET /api/residents/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:14:01.070Z] [REQUEST] POST /api/passes
[2026-03-24T05:14:09.158Z] [REQUEST] GET /api/health
[2026-03-24T05:14:09.160Z] [REQUEST] GET /api/health
[2026-03-24T05:14:09.161Z] [REQUEST] GET /api/health
[2026-03-24T05:14:09.217Z] [REQUEST] GET /api/visitors
[2026-03-24T05:14:09.220Z] [REQUEST] GET /api/visitors/stats
[2026-03-24T05:14:09.221Z] [REQUEST] GET /api/security/visitor-analytics
[2026-03-24T05:14:11.737Z] [REQUEST] GET /api/pass/VIS-643WHK
[2026-03-24T05:14:28.439Z] [REQUEST] POST /api/pass/verify
[2026-03-24T05:14:28.540Z] [REQUEST] GET /api/passes
[2026-03-24T05:14:48.512Z] [REQUEST] GET /api/health
[2026-03-24T05:14:48.515Z] [REQUEST] GET /api/health
[2026-03-24T05:14:48.516Z] [REQUEST] GET /api/health
[2026-03-24T05:14:48.565Z] [REQUEST] GET /api/visitors
[2026-03-24T05:14:48.567Z] [REQUEST] GET /api/visitors/stats
[2026-03-24T05:14:48.571Z] [REQUEST] GET /api/security/visitor-analytics
[2026-03-24T05:15:15.054Z] [REQUEST] GET /api/health
[2026-03-24T05:15:15.057Z] [REQUEST] GET /api/health
[2026-03-24T05:15:15.058Z] [REQUEST] GET /api/health
[2026-03-24T05:15:15.108Z] [REQUEST] GET /api/visitors
[2026-03-24T05:15:15.109Z] [REQUEST] GET /api/visitors/stats
[2026-03-24T05:15:15.110Z] [REQUEST] GET /api/security/visitor-analytics
[2026-03-24T05:15:21.751Z] [REQUEST] GET /api/health
[2026-03-24T05:15:21.754Z] [REQUEST] GET /api/health
[2026-03-24T05:15:21.756Z] [REQUEST] GET /api/health
[2026-03-24T05:15:21.758Z] [REQUEST] GET /api/health
[2026-03-24T05:15:21.759Z] [REQUEST] GET /api/health
[2026-03-24T05:15:21.761Z] [REQUEST] GET /api/health
[2026-03-24T05:15:21.767Z] [REQUEST] GET /api/visitors
[2026-03-24T05:15:21.769Z] [REQUEST] GET /api/visitors/stats
[2026-03-24T05:15:21.774Z] [REQUEST] GET /api/security/visitor-analytics
[2026-03-24T05:15:21.778Z] [REQUEST] GET /api/visitors/stats
[2026-03-24T05:15:21.780Z] [REQUEST] GET /api/visitors
[2026-03-24T05:15:21.790Z] [REQUEST] GET /api/security/visitor-analytics
[2026-03-24T05:15:21.805Z] [REQUEST] GET /api/health
[2026-03-24T05:15:21.807Z] [REQUEST] GET /api/health
[2026-03-24T05:15:21.810Z] [REQUEST] GET /api/health
[2026-03-24T05:15:21.811Z] [REQUEST] GET /api/visitors
[2026-03-24T05:15:21.830Z] [REQUEST] GET /api/visitors/stats
[2026-03-24T05:15:21.832Z] [REQUEST] GET /api/security/visitor-analytics
[2026-03-24T05:15:21.916Z] [REQUEST] GET /api/health
[2026-03-24T05:15:21.917Z] [REQUEST] GET /api/health
[2026-03-24T05:15:21.920Z] [REQUEST] GET /api/health
[2026-03-24T05:15:21.970Z] [REQUEST] GET /api/visitors
[2026-03-24T05:15:21.974Z] [REQUEST] GET /api/visitors/stats
[2026-03-24T05:15:21.976Z] [REQUEST] GET /api/security/visitor-analytics
[2026-03-24T05:15:22.012Z] [REQUEST] GET /api/health
[2026-03-24T05:15:22.014Z] [REQUEST] GET /api/health
[2026-03-24T05:15:22.016Z] [REQUEST] GET /api/health
[2026-03-24T05:15:22.036Z] [REQUEST] GET /api/visitors
[2026-03-24T05:15:22.038Z] [REQUEST] GET /api/visitors/stats
[2026-03-24T05:15:22.040Z] [REQUEST] GET /api/security/visitor-analytics
[2026-03-24T05:15:24.510Z] Server started/reloaded
[2026-03-24T05:15:28.648Z] [REQUEST] GET /api/deliveries
[2026-03-24T05:15:28.650Z] [REQUEST] GET /api/deliveries/vendors
[2026-03-24T05:15:28.653Z] [REQUEST] GET /api/deliveries/stats
[2026-03-24T05:15:28.654Z] [REQUEST] GET /api/deliveries/agents/blacklisted
[2026-03-24T05:15:28.656Z] [REQUEST] GET /api/admin/resident-entries
[2026-03-24T05:15:29.621Z] [REQUEST] GET /api/passes
[2026-03-24T05:15:29.625Z] [REQUEST] GET /api/passes
[2026-03-24T05:16:32.811Z] [REQUEST] GET /api/pass/VIS-643WHK
[2026-03-24T05:17:41.150Z] [REQUEST] GET /api/residents/by-user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:17:41.153Z] [REQUEST] GET /api/passes
[2026-03-24T05:17:41.155Z] [REQUEST] GET /api/passes
